Time,Load
20240122 21:00,73543.95
20240122 21:30,71461.85
20240122 22:00,68725.19
20240122 22:30,65239.46
20240122 23:00,74775.4
20240122 23:30,74236.43
20240123 00:00,72235.13
20240123 00:30,69457.16
20240123 01:00,82309.44
20240123 01:30,86957.22
20240123 02:00,90422.78
20240123 02:30,94546.3
20240123 03:00,98044.54
20240123 03:30,99263.98
20240123 04:00,100133.62
20240123 04:30,99110.01
20240123 05:00,95247.37
20240123 05:30,90708.95
20240123 06:00,84229.82
20240123 06:30,81573.38
20240123 07:00,68403.09
20240123 07:30,62744.61
20240123 08:00,64780.23
20240123 08:30,79521.3
20240123 09:00,81465.64
20240123 09:30,61363.12
